Opponent Decklist,Result
Alpine Moon | Cenn's Tactician | Plateau,-1.0
Ancient Tomb | Magus of the Moon | Mox Ruby,-1.0
Assassin's Trophy | Golgari Rot Farm | Treetop Village,-1.0
Bitterblossom | Mox Jet | Rishadan Port,-1.0
"Brazen Borrower | Jace, Wielder of Mysteries | Sand Silos",-1.0
Chancellor of the Annex | Chancellor of the Forge | Karakas,1.0
Chancellor of the Annex | Dryad Arbor | Shining Shoal,1.0
Chancellor of the Annex | Fleeting Spirit | Fountain of Cho,-1.0
Chancellor of the Annex | Icatian Store | March of Otherworldly Light,-1.0
Chancellor of the Forge | Foil | Island,0.0
Dark Depths | Peat Bog | Vampire Hexmage,-1.0
Daze | Inkmoth Nexus | Island,-1.0
Daze | Island | Sleep-Cursed Faerie,-1.0
"Dunes of the Dead | Smallpox | Urborg, Tomb of Yawgmoth",0.0
Greater Gargadon | Plateau | Restore Balance,0.0
"Portable Hole | Remote Farm | Thalia, Guardian of Thraben",-1.0
Riftwing Cloudskate | Saprazzan Skerry | Watcher of Hours,-1.0
