Opponent Decklist,Result
"Ancient Tomb | Auntie Blyte, Bad Influence | Mox Ruby",0.0
Ancient Tomb | Leyline of the Guildpact | Scion of Draco,1.0
Ancient Tomb | Steel Overseer | Steel Overseer,1.0
Bitterblossom | Mox Jet | Rishadan Port,-0.5
Bitterblossom | Peat Bog | Smallpox,-1.0
Blighted Agent | Inkmoth Nexus | Mox Sapphire,1.0
Cathedral of War | Inkmoth Nexus | Steel Overseer,1.0
Cenn's Tactician | Path to Exile | Plains,0.0
Cenn's Tactician | Seachrome Coast | Void Snare,-1.0
Demolition Field | Sol Ring | Steel Overseer,-1.0
Drop of Honey | Rushwood Grove | Timeless Witness,0.0
Dryad Arbor | Force of Despair | Grief,0.0
Energy Field | Sand Silos | The Millennium Calendar,-1.0
Grove of the Burnwillows | Grove of the Burnwillows | Kavu Predator,1.0
Inkmoth Nexus | Karakas | Porphyry Nodes,0.0
Inkmoth Nexus | Liliana's Triumph | Swamp,0.0
Remote Farm | Skrelv's Hive | Skrelv's Hive,1.0
